tempo,onset_mean,onset_var,onset_max,autocorr_mean,autocorr_var,autocorr_max,pulse_mean,pulse_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,label,filename
103.359375,1.6819026,2.487143,9.16577,1221.8691,520776.47,4582.34,0.21465413,0.07796479,116.764015,-33.96127,15.762088,-4.182158,-1.6955266,23.826075,17.220722,13.365157,11.758578,9.302866,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_009.wav
103.359375,1.3704387,1.6424077,11.118126,811.2223,188468.45,3034.6792,0.17669375,0.05864009,125.36378,-30.175488,16.799173,0.6228359,-3.5880237,25.913464,20.09897,14.397558,11.114164,8.401916,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_010.wav
123.046875,1.0139679,1.4710625,8.6952715,444.374,76818.26,2154.3047,0.24831747,0.09800278,118.49995,-1.3897156,17.685852,-4.5335054,1.5554984,29.983137,20.177898,10.559488,15.680494,8.773837,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_001.wav"
61.5234375,1.263281,1.1546761,9.310292,689.1992,172881.52,2370.9788,0.25562364,0.09864292,101.715576,18.181976,15.904567,-14.898517,1.069079,28.333096,19.714008,12.986293,13.421614,12.349222,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_002.wav"
123.046875,1.1903507,1.1088763,8.155187,611.9618,126937.62,2177.249,0.26865846,0.111650005,113.778496,16.975409,28.16037,-3.8560064,4.962387,24.50808,18.394808,11.321474,11.560646,9.229058,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_003.wav"
123.046875,1.2344823,1.0650067,6.8721957,658.1155,158069.69,2231.6777,0.26142588,0.10317879,109.30829,3.6750176,27.979023,-2.667315,0.7301929,24.899794,17.261816,11.977872,9.735783,8.997349,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_004.wav"
123.046875,1.1399931,1.0013684,7.6625786,561.2713,122222.36,1983.4213,0.2804767,0.11720819,115.59231,12.442153,21.148886,-4.18342,-0.18874899,19.432844,11.501059,9.617036,8.7058325,7.009745,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_005.wav"
123.046875,1.1690307,1.0610583,7.1731725,590.2326,123103.54,2092.6697,0.2667313,0.11031223,90.518745,-0.5930425,42.16314,2.4727712,3.010971,19.256773,23.27336,12.635955,9.536522,9.310424,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_006.wav"
123.046875,1.3052765,1.6125128,10.050545,735.97296,227445.56,2858.6157,0.26323706,0.106839985,101.67492,25.093184,25.234734,-1.8349159,12.03803,23.595076,14.29573,12.405932,11.097431,9.26861,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_007.wav"
123.046875,1.2414784,1.2602307,9.364298,665.68774,163804.9,2414.8928,0.28462347,0.12045491,105.03058,16.316471,22.252157,-1.1158363,7.133765,20.560085,20.632719,11.8215685,10.216206,9.826363,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_008.wav"
80.74951171875,1.1814514,0.81332135,7.1178327,602.7062,126392.94,1904.2861,0.26486692,0.10679317,105.44489,9.098872,26.917814,-2.4387152,4.727882,20.620504,13.823192,11.271387,8.888157,7.519324,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_009.wav"
123.046875,1.0965949,0.8766336,7.593487,519.32587,107339.11,1792.2307,0.26690304,0.109331936,119.79024,15.574514,22.62223,-2.8375456,1.7809376,20.137878,13.580017,9.491716,9.2388115,7.6064277,teentaal,"JAB TAK Full Video ｜ M.S. DHONI -THE UNTOLD STORY ｜ Armaan Malik, Amaal Mallik ｜Sushant Singh Rajput_010.wav"
99.38401442307692,1.4686519,3.7563453,18.703302,932.597,261901.95,5097.2505,0.2040413,0.078791596,85.58233,-17.509602,19.298416,-10.493778,3.9507256,41.0723,25.606413,20.909992,13.629272,14.063045,teentaal,Kal Chaudhvin Ki Raat Thi with lyrics ｜ कल चौदहवीं की रात थी ｜ Jagjit Singh ｜ Duniya Jise Kahte Hain_001.wav
103.359375,1.4401748,2.5972466,9.968232,896.27435,349884.28,4026.7043,0.26465583,0.10527968,108.10082,-20.28209,31.027407,-16.163546,6.391313,21.304623,13.98222,15.883637,12.927023,9.015202,teentaal,Kal Chaudhvin Ki Raat Thi with lyrics ｜ कल चौदहवीं की रात थी ｜ Jagjit Singh ｜ Duniya Jise Kahte Hain_002.wav
